sweep,di,dj,dk,r_mm,n_rv,n_lv,tau_rv,tau_lv,d_rv_lv,tau_rv_err,tau_lv_err,chi_rv,chi_lv,tail_rv,tail_lv,tail_d
grid3,-1,-3,1,5.430897317880441,2469947,1924419,1.7125753742616536,1.4803270362678362,0.2322483379938174,0.16931980014381415,0.147424392895655,2.6159102894639443,2.246043528465799,2.035140406364388,1.6079291552033297,0.4272112511610584
grid3,-1,-3,2,6.133033464461192,2438723,1911227,1.7801675748928025,1.475994424553432,0.30417315033937053,0.18143824322521532,0.1480790792800245,2.664632651809397,2.22452996867941,2.8514835669565683,1.4663053898410014,1.385178177115567
grid3,-1,-3,3,7.1516796960062,2404545,1895055,1.716115272663632,1.4516581029123015,0.2644571697513305,0.17605090303530488,0.14209390233850974,2.7376430051279868,2.1811834301362434,2.0572198509564106,1.5999315527680569,0.4572882981883537
grid3,-1,-2,-3,6.143728081893743,2526179,1948973,1.6220232383404871,1.382815860931794,0.23920737740869313,0.16125433696305927,0.1315053317729956,2.8701950282029025,2.289033348370333,2.074892162906159,1.6381090084299004,0.4367831544762586
grid3,-1,-2,-2,4.92066781506162,2509812,1950085,1.6182120721066626,1.4380299567409383,0.18018211536572437,0.15978965435368503,0.1351482954099445,2.9798565473141276,2.279971015023813,2.0136649882345727,1.5474716532352015,0.4661933349993712
grid3,-1,-2,-1,4.01167271189256,2488273,1947081,1.6540989892297648,1.417199613517517,0.23689937571224773,0.16309316730696846,0.13474366360362094,2.8604345487229548,2.318621701400098,2.0585376430939277,1.6944701518622665,0.36406749123166127
grid3,-1,-2,0,3.6588295051464352,2463682,1941238,1.7149577217032284,1.4717989067198234,0.24315881498340497,0.17445214322600025,0.1431136107645238,2.738420986622613,2.253549540758471,2.080456243547482,1.5633431061204315,0.5171131374270506
grid3,-1,-2,1,4.01167271189256,2434941,1932484,1.7032240861530714,1.4929576648568996,0.2102664212961718,0.1715995830189385,0.15183019961877656,2.703894474239439,2.2177240806424994,2.0661589627407593,1.5763561316068915,0.4898028311338678
grid3,-1,-2,2,4.92066781506162,2403347,1919945,1.7233026612040183,1.4575764416163293,0.26572621958768905,0.17399241947255256,0.1471346640368175,2.718073948750885,2.2100284723224526,2.0808816388380937,1.59458866793935,0.4862929708987438
grid3,-1,-2,3,6.143728081893743,2370199,1904476,1.729615085726699,1.4504373117021998,0.27917777402449917,0.17488136803038157,0.14628164700005725,2.8154864907481256,2.2157767777134736,2.048061858671098,1.5832455274934054,0.4648163311776925
grid3,-1,-1,-3,5.450203492186254,2478773,1950915,1.647790150648844,1.358902248212981,0.28888790243586304,0.16410027878170239,0.1227649124617905,2.8855682145132335,2.2571387722735228,2.0065483120989747,1.638940703501759,0.36760760859721575
grid3,-1,-1,-2,4.02147921891594,2462962,1952644,1.6178768937378911,1.3645410115019674,0.25333588223592374,0.15631943453202427,0.1246166970161726,2.892891008667835,2.265301202610975,1.9886302003691372,1.6872743530320538,0.3013558473370834
grid3,-1,-1,-1,2.8377528626243804,2442972,1950546,1.6304337082788976,1.40660434229855,0.22382936598034764,0.16226787462923298,0.13169498474093452,2.8633935926792597,2.3385632186980736,2.0820172552484384,1.7175640188420715,0.36445323640636684
